Date;PX_LAST;PX_VOLUME
31.12.2024;250.42;39480718
30.12.2024;252.2;35557542
27.12.2024;255.59;42355321
26.12.2024;259.02;27262983
24.12.2024;258.2;23234705
23.12.2024;255.27;40858774
20.12.2024;254.49;147495267
19.12.2024;249.79;60882264
18.12.2024;248.05;56774101
17.12.2024;253.48;51356360
16.12.2024;251.04;51694753
13.12.2024;248.13;33155290
12.12.2024;247.96;32777532
11.12.2024;246.49;45205814
10.12.2024;247.77;36914806
09.12.2024;246.75;44649232
06.12.2024;242.84;36870619
05.12.2024;243.04;40033878
04.12.2024;243.01;44383935
03.12.2024;242.65;38861017
02.12.2024;239.59;48137103
29.11.2024;237.33;28481377
27.11.2024;234.93;33498439
26.11.2024;235.06;45986189
25.11.2024;232.87;90152832
22.11.2024;229.87;38168252
21.11.2024;228.52;42108327
20.11.2024;229;35169566
19.11.2024;228.28;36211774
18.11.2024;228.02;44686020
15.11.2024;225;47923696
14.11.2024;228.22;44923941
13.11.2024;225.12;48566217
12.11.2024;224.23;40398299
11.11.2024;224.23;42005602
08.11.2024;226.96;38328824
07.11.2024;227.48;42137691
06.11.2024;222.72;54561121
05.11.2024;223.45;28111338
04.11.2024;222.01;44944468
01.11.2024;222.91;65276741
31.10.2024;225.91;64370086
30.10.2024;230.1;47070907
29.10.2024;233.67;35417247
28.10.2024;233.4;36087134
25.10.2024;231.41;38802304
24.10.2024;230.57;31109503
23.10.2024;230.76;52286979
22.10.2024;235.86;38846578
21.10.2024;236.48;36254470
18.10.2024;235;46431472
17.10.2024;232.15;32993810
16.10.2024;231.78;34082240
15.10.2024;233.85;64751367
14.10.2024;231.3;39882085
11.10.2024;227.55;31759188
10.10.2024;229.04;28183544
09.10.2024;229.54;33591091
08.10.2024;225.77;31855693
07.10.2024;221.69;39505354
04.10.2024;226.8;37345098
03.10.2024;225.67;34044158
02.10.2024;226.78;32880605
01.10.2024;226.21;63285048
30.09.2024;233;54793391
27.09.2024;227.79;34025967
26.09.2024;227.52;36636707
25.09.2024;226.37;42308715
24.09.2024;227.37;43556068
23.09.2024;226.47;54146023
20.09.2024;228.2;318679888
19.09.2024;228.87;66781315
18.09.2024;220.69;59894928
17.09.2024;216.79;45519339
16.09.2024;216.32;59357427
13.09.2024;222.5;36766619
12.09.2024;222.77;37498225
11.09.2024;222.66;44587072
10.09.2024;220.11;51591033
09.09.2024;220.91;67179965
06.09.2024;220.82;48423011
05.09.2024;222.38;36615398
04.09.2024;220.85;43840196
03.09.2024;222.77;50190574
30.08.2024;229;52990770
29.08.2024;229.79;51906297
28.08.2024;226.49;38052167
27.08.2024;228.03;35934559
26.08.2024;227.18;30602208
23.08.2024;226.84;38677250
22.08.2024;224.53;43695321
21.08.2024;226.4;34765480
20.08.2024;226.51;30299033
19.08.2024;225.89;40687813
16.08.2024;226.05;44340240
15.08.2024;224.72;46414013
14.08.2024;221.72;41960574
13.08.2024;221.27;44155331
12.08.2024;217.53;38028092
09.08.2024;216.24;42201646
08.08.2024;213.31;47161149
07.08.2024;209.82;63516417
06.08.2024;207.23;69660488
05.08.2024;209.27;119548589
02.08.2024;219.86;105568560
01.08.2024;218.36;62500996
